,first_keyword,second_keyword,associative_word
161,いりあい,いりあいのかね,うちしぐれ-かどさす-かえる-はなのかげ-まよう-やまぶかい-わからない-あらまし-おもいたい-かどみえる-つづく-はつせでら-はつせやま-はるになる-ひがくれる
162,いろ,あさがおのいろ,のわきする
163,いろ,いろかわる,まつむしのこえ
164,いろ,いろかわるころ,はなさく
165,いろ,いろづく,つゆとけさのはつしも-ころもうつこえ-ひぐらしのこえ
166,いろ,はなのいろ,うぐいすのこえ
167,いろ,はるあきのいろ,うつろう
168,いろいろ,きぎのいろいろ,あきくれる
169,いろいろ,そでのいろいろ,つきにかえる
170,いろいろ,のべのいろいろ,からごろも
171,いわ,いわがね,はしのひとすじ
172,いわ,いわがねのまつ,いそにふねにひぐれ
173,いわ,いわこすなみ,たきおちる
174,いわ,くめのいわはし,ただひとこと
175,いわ,たきのいわなみ,おとわがわ
176,いわう,かえりにこまいわうこえ,みやこびと
177,うい,うい,あけのとりのこえごえ-すみぞめのそで-のちのよのみち
178,うい,ういあき,うえないならきかないおぎのうわかぜ
179,うい,ういしぎのはねがき,はかない
180,うい,ういふゆごもり,あさなあさな
181,うい,たびはうい,そでがつゆっぽい
182,うい,みるのもうい,もみじちるころ
183,うい,われでなくなるのがうい,こけのとのゆうあらし
184,うえ,うえはつれない,いろづく
185,うえ,きりのうえ,ゆうまぐれ
186,うえ,さくらのうえ,かねなる
187,うえ,なみだがわがそでのうえ,おもう
188,うえ,なみのうえ,もしおのけむり-ふねのうち
189,うえ,はちすのうえ,ひぐらし
190,うえ,まくらのうえ,つきのさやけさ
191,うえる,うえるた,はれたさみだれのそら
192,うえる,はなうえる,わかぎのさくら
193,うぐいす,あさくるうぐいす,たますだれ
194,うぐいす,うぐいす,あさあけのどか-ありあけのつき-かすむあけぼの-そののむらたけ-たにのとのやま-のこるあけぼの-ひかりのどか-はなをまつ-みちのはるけさ-ゆきはふりつつ
195,うぐいす,うぐいすがなく,あけがた-はなとあさぼらけ-かすむこのあした-あさぼらけ-ほととぎす
196,うぐいす,うぐいすのこえ,たにのとはあけてもおそいひのひかり-あさぼらけ-かすむあさまだき-うちかすむ-えだにうめさく-かすみつつ-かすむの-かすむ-そことなくかすむ-みずたえだえ-はるのこる-ほととぎす-ゆききえる-よわのつき-はるのの
197,うぐいす,のべちかいうぐいす,ゆきのたけのすえずえ
198,うける,かけいにうけるみず,ここかしこ
199,うた,うたのしなじな,はなのこのもと
200,うた,こころあらそううた,うぐいすのこえごえ
201,うち,あめのうち,やまほととぎす
202,うち,うちのゆき,なみのうきふね
203,うち,かすみのうちのみずのみなかみ,こととう
204,うち,くさのとのうち,まちわびる
205,うち,さみだれのうち,ほととぎす
206,うち,しばのとのうち,おもう
207,うち,ただゆめのうち,まどろむ
208,うち,ふるみやのうち,つばくらめ
209,うち,ゆきのうち,ふゆこもるころ
210,うつ,あさごろもうつ,ひとはといこない
211,うつ,たけをうつこえ,よがふける
212,うつのやま,うつのやま,つたのしたみち
213,うつのやま,うつのやまごえ,あきのかぜ
214,うのはな,うのはな,たまがわのなみ
215,うみ,はるのうみつら,のどか
216,うめ,うめさく,うぐいすのこえ
217,うめ,うめにおう,あさぼらけ-うぐいす
218,うめ,うめにおうころ,うぐいす
219,うめ,うめのか,うぐいすのこえ-はるをしる
220,うめ,うめのかがする,おきいでる-ひかげさす
221,うめ,うめのひともと,うぐいす
222,うめ,くれないのうめ,うぐいす
223,うめ,そでのうめのか,うぐいす
224,うめ,におううめのか,あさぼらけ
225,うめ,やどのうめ,のきのうぐいすのこえ
226,うめ,やどのうめのか,うぐいす
227,うら,しがのうらぶね,かみまつり
228,うら,すまのうら,なみここもと-つまとうちどりしばなく
229,うら,すまのうらなみ,もしおやくけむり-あわじがた
230,うら,すみよしのうら,あわじしま
231,うら,なおすまのうら,ともちどり
232,うら,ふくなみのうらかぜ,とりのなきたつ
233,うらむ,つれなさをうらむ,ありあけのつき
234,えだ,はなのひとえだ,やまざくら
235,おい,おいのゆくすえ,もりのしたくさ
236,おうさかのせき,おうさかのせき,ほととぎす
237,おうさかのせき,こえるおうさかのせき,こがくれる
238,おうさかのやま,おうさかのやま,さねかずら
239,おうさかのやま,こえるおうさかのやま,みやこのはるがすみ
240,おおはら,おおはらまつり,はるのみやびと
241,おか,おかべのはじのひとむら,ゆうひがくれ
242,おき,おきのしらなみ,たつたやまのあき
243,おき,おきのつりぶね,なみのうえ
244,おき,おきのなみ,たつたのやま
245,おき,おきのふね,うらのあさあけ
246,おぎ,おぎにかぜ,ものおもうころ
247,おぎ,おぎのうわかぜ,あきのよ-ふるさとびと-おもう-ふるさと-ゆうまぐれ
248,おく,おくやまのかげ,うちとけて
249,おく,みよしののおく,かげくれる-はなをみる-よぶこどり
250,おく,やまのおく,みねのまつかぜ
251,おくる,おくる,はるのかりがね
252,おくる,そでふきおくるかぜ,たまぼこ
253,おぐるま,おぐるまのおと,ゆうがお
254,おしい,ちるのがおしい,うずらなく
255,おだまき,しずのおだまき,いにしえ
256,おちこち,かすむおちこち,いそぐかり
257,おちこち,のべのおちこち,あらわれる
258,おちる,おちるあまつかり,つきのいでしほ
259,おちる,つきおちる,あきのはつしも
260,おちる,なみだおちる,ひともない-ふるさと-ゆめさめる
261,おちる,むかってなみだおちる,なる
262,おと,おぐるまのおと,ゆうがお
263,おと,かわおと,つきのさやけさ
264,おと,きぬたのおと,たまぼこのゆくえ
265,おと,こないでおとする,うぐいす
266,おと,さわみずのおと,ふねくだすふしみ
267,おと,しぎのはねおと,あきのしも
268,おと,ちかいかわおと,すずしさ
269,おと,つゆのおときくにわ,たまだれのきり
270,おと,とまりぶねおとしていずち,たびのくにぐにのひと
271,おと,みずのおと,いずこにある
272,おとめ,あまおとめ,くものかよいじ
273,おとろえる,おとろえる,あまつおとめご
274,おとわやま,かぜのおとわやま,おうさかのせき
275,おなじ,おなじこころ,よしや
276,おのえ,おのえのはなをみる,かすみにくれる
277,おぶね,あまおぶね,あらいそのなみ-わずかにみえるおきのしま
278,おぼえる,よざむおぼえる,からごろも
279,おぼろ,おぼろづきよ,のどかなまくら-ほととぎすのこえ
280,おぼろ,おぼろにのこるありあけのつき,たななしおぶねのおと
281,おぼろ,やまがおぼろ,かえるかりがね
282,おみなえし,おみなえし,かぜにつゆがおちる
283,おもい,きえるならきえるおもい,みをあきちかくとぶほたる
284,おもう,おもうこととつき,あきのあまのはしだて
285,おもう,おもうな,こころである
286,おもう,おもうひとのことのは,われのみひとりそでをぬらす
287,おもう,おもうふるさと,たびのそら
288,おもう,なにおもう,よのなか
289,おもう,みをおもう,みよしののおく
290,おもう,むかしをおもうなみだ,あきはかなしい-くさのいお
291,おもう,ものおもうころ,いかなる-だれがうい
292,おもかげ,あきのおもかげ,くれのはなすすき
293,おもかげ,おもかげ,ありあけのつき
294,おもかげ,かたるばかりにむかうおもかげ,それでないこえ
295,おもかげ,そうはおもかげ,はなのあと
296,おもかげ,ひとのおもかげ,わかれじ-あきふける-なぐさめる-なみだ
297,おもかげ,ゆめのおもかげ,とこのうえ
298,おりおり,かぜのおりおり,なる
299,おろか,おろかなこころ,おもいそめる
300,か,うめのか,うぐいすのこえ-はるをしる
301,か,うめのかがする,おきいでる-ひかげさす
302,か,そでのうめのか,うぐいす
303,か,におううめのか,あさぼらけ
304,か,はなうちかおる,こがくれる
305,か,やどのうめのか,うぐいす
306,かえす,うちかえすた,かわずなく
307,かえす,おもいかえす,さよごろもとゆめ
308,かえる,かえる,いりあいのかね-うらなみのおと-おおよどのなみ-たえだえ
309,かえる,かえるかりがね,あらわれる-ふるさと-やまざくら
310,かえる,かえるかりのこえ,あわれをいう
311,かえる,かえるさ,かさのはのゆき
312,かえる,かえるさとびと,かた
313,かえる,かえるさのみち,なる
314,かえる,かえるとりのね,くれわたる
315,かえる,かえるふるさと,はるくれる-たびごろも
316,かえる,すててかえる,おちのひとむら
317,かえる,だれかえる,ひともなし
318,かえる,はるかえる,わかばのくずのかかるうもれぎ
319,かえる,はるのかえるさ,あまつかり
320,かえる,ひとかえる,のべのひとむら
321,かえる,みやこのつきにかえる,くさまくら
322,かかる,かかる,たまのおのすえ
323,かかる,かかるふじなみ,たごのながきひ-かすむみかさやま
324,かかる,くもかかるみね,はなざかり
325,かかる,よばかりかかる,つらいたまのお
326,かき,かきねづたい,たえだえ
327,かき,かきのもとつば,みかわみず
328,かぎる,ゆうべかぎる,おぎのうわかぜ
329,かく,かくもしおぐさ,うみのなぎさにまつのはなおちる
330,かけい,かけいにうけるみず,ここかしこ
331,かげ,あおやぎのかげ,はなをみる
332,かげ,あさひかげ,あまのつりぶね
333,かげ,あしびたくかげ,とぶほたる
334,かげ,ありあけのかげ,あきのよ
335,かげ,いなずまのかげ,よいのま
336,かげ,いりひかげ,さとにひとかえるみゆ
337,かげ,おくやまのかげ,うちとけて
338,かげ,かげかすか,たえだえ
339,かげ,かげくれる,さみだれのころ
340,かげ,かげたかくなる,とぶほたる
341,かげ,かすかなかげ,とぶほたる
342,かげ,かりねのつきかげ,はなうちかおる
343,かげ,さくらちるかげ,はるながら
344,かげ,つきかげすむ,つゆさむいそで
345,かげ,ともしびのかげ,つりぶね-あきぼたるとゆうまくら
346,かげ,ねやのつきかげ,きりぎりす
347,かげ,のこるやまかげ,かえる
348,かげ,はなのかげ,つつじやまぶき-とりのさえずり-とりのひとこえ-はるのさかずき-やまかすむくれ-みよしののはる
349,かげ,はなのかげにやすらう,はるのかえるさ
350,かげ,ひかりのかげ,とぶほたる
351,かげ,ひとかげもしない,なる
352,かげ,ひとりねとかげ,かたしく
353,かげ,みずかげのさびしさ,かえる
354,かげ,やまのかげ,すまのうらなみ-はしのひとすじ-まつかぜがふく-みちのかけはし
355,かげ,やまのしたかげ,そよぐあきかぜ
356,かげ,よもぎうのかげ,きりぎりす
357,かさなる,かさなるやま,みねのくも
358,かしこい,かしこい,よがおさまる-ことのはのみち
359,かすか,かげかすか,たえだえ
360,かすか,かすかなかげ,とぶほたる
361,かすみ,いくえかすみ,かねのひびき
362,かすみ,かすみ,はるのとおやま
363,かすみ,かすみくみよる,ながきひ
364,かすみ,かすみこめる,おぼつかない-よぶこどり
365,かすみ,かすみつつ,はるのかりがね
366,かすみ,かすみにこもる,うぐいす-かねのおと-はるのあめ
367,かすみ,かすみにたどるみち,よぶこどり
368,かすみ,かすみのうちのみずのみなかみ,こととう
369,かすみ,かすみのそこ,かわずなく
370,かすみ,かすみのひま,はるあさい
371,かすみ,かすみより,たきのしらなみ
372,かすむ,あめかすむくれ,はるかぜ-ほととぎす
373,かず,かずあまた,いかばかり
374,かず,かずならぬ,あきのゆうぐれ-はるがきた
375,かぜ,あきかぜ,ころもうつ-にわのつきかげ-のべのむしのね-はつかりのこえ-まつむしのこえ-やまのはのいろ-ふるさとのゆうべ-きぬぎぬのあと-ころもうつこえ-しぎのはねがき-つゆがこぼれる-ふねからきくなみがすさまじい-ひぐらしのこえ-まくらはいずこ-やまのはのつき-さおじかのこえ-つゆのふるさと-ひとむらすすき
376,かぜ,あきかぜがふく,なくきりぎりす-つゆふる-あさじがはら-はなすすき
377,かぜ,あきかぜのこえ,かげさびしい-みにしみる
378,かぜ,あきのかわかぜ,きりわたる
379,かぜ,あきのはつかぜ,つきいでる-のこるあつさにはしいする-むしなく-さそう-たなばた-ひとはより
380,かぜ,おぎにかぜ,ものおもうころ
381,かぜ,おぎのうわかぜ,あきのよ-ふるさとびと-おもう-ふるさと-ゆうまぐれ
382,かぜ,かぜがすさまじい,きりぎりす
383,かぜ,かぜがみにしみる,あきのそら
384,かぜ,かぜとあさがすみ,いづるひかげ
385,かぜ,かぜににおうたちばな,たますだれ
386,かぜ,かぜにはなちる,はるのゆめ
387,かぜ,かぜのおとわやま,おうさかのせき
388,かぜ,かぜのおりおり,なる
389,かぜ,かぜのしずけさ,におう
390,かぜ,かぜのすずしさ,やすらう
391,かぜ,かぜのはげしさ,しぐれくる-あきくれる
392,かぜ,かぜのまにまに,くれるひ-なみかえる
393,かぜ,かぜのむらさめ,ほととぎす
394,かぜ,かぜのゆくすえ,うえおく
395,かぜ,かぜみえる,はつかりのこえ
396,かぜ,こがらしのかぜ,ふえのね-やまのあきくれる
397,かぜ,すごいあきかぜ,ののひとつまつ
398,かぜ,そでふきおくるかぜ,たまぼこ
399,かぜ,ただあきのかぜ,かりなく
400,かぜ,ただまつのかぜ,はつしぐれ
401,かぜ,つゆふくかぜ,むしなく
402,かぜ,のわきのかぜ,あけのそほぶね
403,かぜ,はつかぜときのうはきいてあきふける,ひとはのこらないもみじ
404,かぜ,はなのはるかぜ,やまざくら
405,かぜ,はなのやまかぜ,はるになる
406,かぜ,はるかぜがふく,かすむ
407,かぜ,ふくかぜのあきのつゆ,ひぐらしのこえ
408,かぜ,ふくなみのうらかぜ,とりのなきたつ
409,かぜ,まつかぜがふく,くもうく-うい-たのむ
410,かぜ,まつかぜのこえ,つきをみる-はなちる
411,かぜ,まつふくかぜ,ちるはな
412,かぜ,みねのあきかぜ,かりなく
413,かぜ,やまのまつかぜ,しばのいお-なかなか
414,かぜ,よわのあきかぜ,くさまくら
415,かた,おちかたのくも,とりなく-ひとむら
416,かた,おちかたのやま,わたのはら
417,かた,おちかたびとのそで,おくる
418,かた,かたもさだめない,しるべ
419,かた,くものおちかた,しぐれる
420,かた,くれゆくかた,かえる
421,かたしく,かたしく,つきのあかつき
422,かたみ,かたみ,おもいやる-におうころもで-ひとのおもかげ-ちぎり
423,かたむく,かたむく,ふるみやのうち
424,かたむく,つきがかたむく,ふるさとにあきのかぜ-あきのよ
425,かたる,かたるばかりにむかうおもかげ,それでないこえ
426,かつらぎ,かつらぎのやま,たえだえ
427,かつらぎ,さくらのかつらぎのやま,あさがすみたつ
428,かなしい,たびはかなしい,くさまくら-かりまくら
429,かなしい,わかれるたびはかなしい,あうひと
430,かね,いりあいのかね,うちしぐれ-かどさす-かえる-はなのかげ-まよう-やまぶかい-わからない-あらまし-おもいたい-かどみえる-つづく-はつせでら-はつせやま-はるになる-ひがくれる
431,かね,かねなる,あかつきのそら-すぎのむらだち-つきがかたむく-みねのふるでら-やまのはのつき
432,かねごと,ひとのかねごと,ちぎり
433,かみ,かみにただいのる,むすぶちぎり
434,かみ,まつりするかみ,もりのこがくれ
435,かも,かもひよし,あおいかつら
436,から,からごろも,そでのうつりが-よがふける-あきのよもぎうのさと
437,かり,おちるあまつかり,つきのいでしほ
438,かり,かえるかりがね,あらわれる-ふるさと-やまざくら
439,かり,かえるかりのこえ,あわれをいう
440,かり,かりなく,あきがふける-ふしみのゆめ
441,かり,かりのいくつら,はるばる
442,かり,かりのこえ,かすみこめる
443,かり,かりのこえごえ,うつろう
444,かり,かりのたまずさ,へだつふるさと
445,かり,かりのひとこえ,あきふける
446,かり,かりのひとつら,そことない
447,かり,とぶかりのつばさ,あけわたるそら
448,かり,はつかりのこえ,あまおぶね
449,かり,はるのかりがね,こなたかなた
450,かり,わたるかりがね,ながいよ
451,かりそめ,かりそめ,いりあいのかね-ひぐれ
452,かりの,かりのよるのゆめ,あしたのくも
453,かわ,あきのかわかぜ,きりわたる
454,かわ,かわおと,つきのさやけさ
455,かわ,かわぞいのみち,あかつき-わたしぶね
456,かわ,かわぞいぶね,きしのくれたけ
457,かわ,かわつらのさと,はるか
458,かわ,ちかいかわおと,すずしさ
459,かわ,つきのかわかみ,かねのおと
460,かわ,よどのかわぶね,むらさめ-ほととぎす
461,かわす,かわすことのは,ほととぎす
462,かわず,かわずなく,うぐいす-さみだれ-にわたづみ
463,かわる,いろかわる,まつむしのこえ
464,かわる,いろかわるころ,はなさく
465,かわる,ひとのこころがかわる,うみやま
466,かわる,ひとのこころのかわるよのなか,あきのくれ-あきがくる-あわれ-いろみえる-ういみのとき-おとろえる-そでぬれる-たび-ちぎり-つきをみる-とりどり-はかないはねをならべるとりべやま-はなさく-はなもない-はねをならべるとりべやま-ひとつ-ほととぎす-みをしらない-みをしる-わがうえ
467,かんなづき,かんなづき,ここのえのうち
468,かんなび,かんなびのもり,あきのみむろやま
469,き,きぎのいろいろ,あきくれる
470,きえる,きえるけむり,もしおくむ
471,きえる,きえるならきえるおもい,みをあきちかくとぶほたる
472,きえる,ゆききえる,うぐいすのこえ-こおりながれる
473,きく,きくのひともと,やまびと
474,きく,きくのもめずらしい,ほととぎす
475,きく,きくほととぎす,ありあけのそら
476,きく,つゆのおときくにわ,たまだれのきり
477,きく,ゆうつけどりをきく,ふかいよる
478,きし,きしのやまぶき,かわずなく
479,きぬぎぬ,きぬぎぬ,ありあけのつき-そでのうつりが
480,きぬぎぬ,きぬぎぬのあと,かたみ
481,きぬぎぬ,きぬぎぬのそで,しののめ
482,きぬた,きぬたのおと,たまぼこのゆくえ
483,きのう,きのうのくも,あさぼらけ
484,きのう,はつかぜときのうはきいてあきふける,ひとはのこらないもみじ
485,きみ,きみのことのは,いつわり
486,きみがよ,きみがよ,あう
487,きょう,きょうごと,いりあいのかね
488,きょう,きょうばかり,かりごろも
489,きよまわり,きよまわり,ののみやのみち
490,きり,きりにしも,つきはいでてもくらい
491,きり,きりのうえ,ゆうまぐれ
492,きり,きりのこる,つきほのか
493,きり,きりのしたみち,おとがする
494,きり,きりのまがき,あけはなれる
495,きり,きりはれのぼる,あさひかげ
496,きり,きりはれる,ひとすじしろい
497,きり,ほのかなきり,ころもうつおと
498,きりぎりす,きりぎりす,あさじうのおく-つきのさむしろ-つゆのよのなか-のこるやまとなでしこ
499,きりぎりす,なくきりぎりす,あかしはてる-くれつがた-みにかぎらない-みみにみちる
500,きわめる,たのしみをきわめる,かりのこのよ
501,くさ,あきくさ,なくきりぎりす
502,くさ,かれたくさがもえでる,こまいわうこえ
503,くさ,くさのいお,やまほととぎす
504,くさ,くさのつゆ,むしのなくこえ
505,くさ,くさのとのうち,まちわびる
506,くさ,くさはのこらないゆきのしたおれ,のわきするにわにつき
507,くさ,くさはら,だれをとおうか
508,くさ,くさばのつゆ,あだしの
509,くさ,くさまくら,しるべおきいづるみち-きけばあらし-ながきよのゆめ-ふるさとのゆめ-ゆめのおもかげ
510,くさ,つゆしぐれのくさ,わたるかりがね
511,くさ,もずのくさぐき,はしもみじ
512,くさ,もりのしたくさ,はなれごま
513,くさ,わかくさまくら,あきふける
514,くさ,わすれとうくさはら,ふるさと
515,くに,くににしたがう,やまとことのは
516,くむ,よるくむさかずき,つきのもと
517,くめ,くめのいわはし,ただひとこと
518,くも,あけぼののくも,きぬぎぬのおもかげをしたう
519,くも,おちかたのくも,とりなく-ひとむら
520,くも,きのうのくも,あさぼらけ
521,くも,くもかかるみね,はなざかり
522,くも,くものおちかた,しぐれる
523,くも,くものかけはし,かささぎ
524,くも,くものたえま,みねのあらし
525,くも,くものひとむら,すてるほととぎす
526,くも,つきのむらくも,よるにかりなく
527,くも,なかぞらのくも,みえかくれする
528,くも,みねのくも,やまほととぎす
529,くも,ゆうぐれのくも,しぐれる-ほととぎす-みねこえる
530,くもどり,くもどりのあと,あやおるみず
531,くる,あきがくる,つきいでる-はぎさく-いなおおせどり
532,くる,あきくる,ひぐらしがなく
533,くる,あさくるうぐいす,たますだれ
534,くる,あだとかかりくる,たまのおのすえ
535,くる,はるがくる,うぐいすがなく-うちかすむ-うめさく
536,くるしい,やまがくるしい,おいのさか
537,くれ,あきのくれがた,はつしぐれ
538,くれ,あめかすむくれ,はるかぜ-ほととぎす
539,くれ,あめのくれ,やまほととぎす
