,ku
0,あきのみつ	まくらゆふのの	いくたかは
133,さかさはや	またかせになる	みやまくれ
134,しつかやの	まへをすきゆく	たひのみち
135,すきたてる	とほやまもとを	ふなてして
136,せきもせし	こすゑくもゐる	あきのいろ
137,そめしより	ちるやちくさの	はなのはる
138,たつしきの	はかせしらるる	うすきりに
139,ちしほおる	みねのこなたの	ははしくれ
140,つねにみな	うまれあふへき	こころにて
141,てにとらぬ	ははひはひかせ	おとはれて
142,とりはねに	てふとふはなの	はるひかな
143,なけやまた	さみたれくれは	なかるらむ
144,にはつつく	いはほさひしく	あめはれて
145,ぬるかうちに	きなくうちきの	いたたやに
146,ねきことも	さむきあふせの	みちとひて
147,のこるよの	つきにうめさく	のきはかな
148,はるかなる	いはまいはまに	やまみえて
149,ひとかたは	かとたやすきも	やらさらむ
150,ふるさとと	おもひはつきに	すむやたれ
151,めつらしと	いひしもにはを	いつかみむ
152,ほのくらき	つきをしるへの	のへのむら
153,まつたかく	みぬことのはの	ものかなし
154,みるままに	のはさむけなる	ゆきのうち
155,むらからす	このはのおとに	たちさわき
156,めてよるも	しくるるゆふへ	あめはれて
157,もみちする	こすゑゆゆしき	みちのへに
158,らうつつく	いはねのまつやま	あきくちて
159,りうすいを	たつねしつきの	いろすみて
160,るりいろの	あまのかくやま	くれはてて
161,れいならぬ	こころのままの	ふゆこもり
162,ろひて	いつるやまちの	かみならむ
163,わたつみに	なとうらめしき	そらたのめ
164,あけほのの	はなのさかりの	あめもなし
165,いつをかは	あらしのやまの	くれわたり
166,うすしとて	つきやかさなる	にはのゆき
167,えをとほく	ふねはなみにや	かへるらむ
168,おもかけは	わかれさらはや	わすれまし
169,かきうちや	まよふもしかの	ねらるらむ
170,きぬきぬの	そてふるやまた	かたからて
171,くるしとや	ゆふへよりみる	ささわくら
172,けふりたつ	ふもとののわき	しもふりて
173,こころこそ	かきりもしらぬ	ものならめ
174,さらてたに	きさすらさみし	ゆきのまつ
175,しかのこゑ	きりのいつくと	いそくらむ
176,すゑつらき	ゆさをかなみの	おとはして
177,せみのこゑ	くまのもいろは	ふかきのに
178,そめよなほ	うすくれなゐの	はつしくれ
179,たひのかと	ことのまもなき	ゆふまくれ
180,ちらてけふ	とやまのさとの	にしきかな
181,つきのあき	はつかせきよし	をきのこゑ
182,てつくれる	さかきのしはは	いかかせむ
183,とはぬには	いのちをかきり	なほまちて
184,なかむれは	ましはふすふる	うらさひて
185,にはとりの	おとすはきりの	ひとはかな
186,ぬれきぬを	ほせやなみたの	かはやしろ
187,ねさめたに	そらあらはせる	すまのさと
188,のちのあと	あはれとまやに	とまるなよ
189,はなそこに	はなのちしほや	おそきらむ
190,ひはりなく	そらにはうゑし	やまちかな
191,ふりませて	ゆきやつれなむ	はなさかり
192,めくりあはむ	とはかりはなの	かりころも
193,ほのかなる	すゑのそよきと	つきいてて
194,まつのはも	したにいろつく	つゆもりて
195,みねのまつ	ひときはつたふ	わかはかな
196,むすふてに	つきもたまちる	いつみかな
197,めくるよを	おもへはみつの	あわなれや
198,もみちする	こすゑゆゆしき	のやのやま
199,らうつつく	ちまたのつきに	たたすみて
200,りうすいを	たつねしつきの	いろすみて
201,るいほはた	おののふしまと	あらはれて
202,れいならて	はなみぬはるは	なかなかし
203,ろきやま	かけふむみちを	わけくらし
204,わかみこそ	つきとはなとの	こすゑなれ
205,あしひきの	やまのいはねの	みつおちて
206,いなつまや	つきみよそてに	またるらむ
207,うらかれに	くさはのつゆも	おとつれて
208,えたもなき	ふゆたのはらも	うすくもり
209,おもふこと	おなしゆふへの	やまにきて
210,かしこきも	よのひそいつれ	たまくらに
211,きりまより	かたやまもとの	あけはなれ
212,くさはこそ	やとはすさひに	あれねたた
213,けふななは	とまりかへての	すさひにて
214,このよこそ	わかのうらわの	なみならめ
215,さくうめは	にほひによりも	ちるもみち
216,しをるるを	はなもうしとや	ちきりけむ
217,すゑさわく	をはなのなみの	ゆふかすみ
218,せめてなの	たかいのちのこ	おもひやり
219,そてまては	はなをちらさて	ふくかせに
220,たらちねの	いとけなきより	はなちきて
221,ちらぬより	くももみにしむ	しはのいほ
222,つきもひも	こてふはかりに	さくらはな
223,てならひに	いりぬるいぬの	まへわたり
224,とこなつに	はなをりかさす	かせもかな
225,なみこゆる	さりのたとりの	ひはさえて
226,にほへうめ	みにこそよその	はるのかせ
227,ぬさとりし	なこりはかすむ	みちのへに
228,ねになきて	すよりわかるる	とりとりに
229,のちのよを	なけかはいつの	むろのうみ
230,はなみにと	ゆけはこころの	しられけり
231,ひとかよふ	さとのあはひの	あけはなれ
232,ふかきよの	やまのはまよふ	なみかけて
233,めにかかる	くももなきまや	けさのつき
234,ほしあひの	そらをさそなと	おもひやり
235,まくらかる	こひのとほその	あきのかせ
236,みちのへの	やなきこたかく	しもとけて
237,むらさめは	すきむらたかき	かたはかり
238,めてきつつ	あかつきつきの	よもあけぬ
239,ももしきの	かみのありあけに	まくらして
240,らうすくも	こほるもみつの	ひひきかな
241,りようつよの	おもひはひとの	かたみにて
242,るれはほそし	きこえのこせる	あきのみつ
243,れいならす	はなはうらみも	なほはれて
244,ろにて	かたれるはなの	くちさらむ
245,わきてみむ	よそはゆふひの	したもみち
246,あけほのの	ゆきこそうたの	たねならめ
247,いろをさへ	みぬやとあらく	たまくらに
248,うくひすの	いてやといふを	なれこえて
249,えにしとて	いはきのかけや	たのむらむ
250,おもひくさ	もとのしつくに	うつりきぬ
251,かりのなく	すみれもしろく	はなありて
252,きつつなけ	にはのまさこの	うすこほり
253,くさにおふる	にはのたまくら	たれとねむ
254,けふことの	つりにかかれる	みのゆくへ
255,こもりゐし	かみのいもひの	ほとをへて
256,さしかへる	ふねにむかふる	みをしりて
257,したしきも	しらすやうまれ	かはるらむ
258,すててのち	みるさへつきに	おもひいて
259,せみのはは	いはほなるこひ	さたまらて
260,そてやけさ	つきにたちよる	よものはる
261,たましひも	みにそはすなる	こひゆゑに
262,ちらさしと	もみちもていぬる	あらしかな
263,つきはなを	わくるもひとつ	ひかりかな
264,てらせつき	おとろかしはの	かたえかな
265,ともそはや	ゆきのひるよを	いそくらむ
266,なみこゆる	いりえのあしの	すゑみえて
267,にほひやは	かすみをなみの	こしのみね
268,ぬれつつも	われならすはの	みにしみて
269,ねにたては	おもひいてゆく	あきかせに
270,のかれひや	うつやかすかに	まつのかせ
271,はかなくは	やとりとはねむ	たひのみち
272,ひとすまぬ	さとにをおもひ	あはためや
273,ふりにける	いはほのとこを	さためかね
274,めのまへの	いつれもくやし	とまりふね
275,ほとときす	こゑのおもかけ	きにそへて
276,まよひには	むねのほたるを	よろかにて
277,みつをとも	やまをとなりの	くさのいほ
278,むしのねも	いてぬるほとは	かすかにて
279,めつらしき	ひとにけふとけ	はなのひも
280,もみちはや	をりてかさすも	しけからむ
281,らうかはし	かみなりとよむ	あまのかは
282,りうすいを	たつねしつきの	いろすみて
283,るりいろの	あまのかくやま	つきいてて
284,れいならて	はなののみやま	あきふけて
285,ろくなる	ふてのすさひの	はれまたて
286,わきてみぬ	しくれやなかめつ	ふしのたけ
287,あはれみの	ふかきものやは	われならむ
288,いとたけの	このよのほかも	とるものを
289,うきなかの	しのふににたる	ほとときす
290,えのむらに	このまもとある	しはのいほ
291,おもかけの	さてやはとほき	あまのいへ
292,かちよりと	ちきりてはなを	みやこひと
293,きみかよに	もるるいりゐの	こゑすみて
294,くれてたに	たよりあらぬを	たのもにて
295,けたものの	みつのくるまは	わけいりて
296,こともなく	いけるひときの	くちのこゑ
297,さすらふを	なこりなりける	をきのかせ
298,しほきいる	まつともひとは	しれかしな
299,すすしさは	ふけゆくつきに	なほそひて
300,せみのなく	もとつはまかせ	ゆふやみに
301,そてのつき	たたならはしに	やとらめや
302,たひひとも	いたるところは	あらはにて
303,ちよとなき	こしのわかはの	くれそめて
304,つれなきも	たれにきぬきぬ	もみちなり
305,てこそたた	のりなるひとの	いかならむ
306,とほそにも	ゑしまのことの	はなののち
307,なみにしも	ちひさきふねや	わたすらむ
308,にこりにも	かすみをつむや	あきのこゑ
309,ぬるとりの	はおとさひしき	あきのくれ
310,ねすゑもや	ゆきのみへには	むしならむ
311,のかれすは	くれゆくのちも	いかならむ
312,はなそちる	ここをせにとや	よふことり
313,ひとりにも	ひらくはうめや	とちさらむ
314,ふるさとに	よをうのはなの	ちりやらて
315,めてたきを	わかみのうへに	ならへたた
316,ほとときす	ほのかなるねを	はつねにて
317,ましはたく	けふりもをしき	たなかのに
318,みよしのの	たのもしらるる	わかなみた
319,むらちとり	つきをそはこふ	けさのつき
320,めつらしや	やよひのそらの	ほとときす
321,もみちはや	ちりしくうすき	ゆふつくよ
322,らうかはの	せきとめられぬ	そらたきに
323,りみぬひと	つきはこなたの	ちりもかな
324,るりいろの	つきさへわたる	あらしかな
325,れいならす	なれはかせふく	さなへにて
326,ろきにも	あらしふきてを	すむなよな
327,わかとしの	ひかりになひく	ちさとかな
328,あをやきの	いとにしたたる	そておほみ
329,いくへかも	たちまふそての	しらるるらむ
330,うきみにも	したまつはきは	ちきりかな
331,えたかよふ	こすのとほそやま	はつしくれ
332,おとろへて	なさへもあるは	うきよにて
333,かけふかき	のきのまくすも	ふゆかれて
334,きくさけは	おほはぬひとも	なみこえて
335,くもやしる	いつくのにはに	こもるらむ
336,けさのあさけ	ゆきはまたれよ	しものまつ
337,こからしの	おともたひねの	つきさひし
338,さむきひの	ゆくてにかかる	いろかへて
339,しらぬのの	まくらをたのむ	しかのはに
340,すみのけの	ふりにしあとの	あきのしも
341,せみのなく	かたつやまさと	あきかけて
342,それとなき	ふりさかりにし	やまかくれ
343,たちつゐつ	ちよのかるてふ	こよひかな
344,ちりをつき	かせをつたふる	ひとはかな
345,つきにいま	くやしきうみの	ねにそへて
346,てふさひし	ひころのもとの	ちきりかな
347,とまりふね	ひまはけふりの	たちとけて
348,なひくよは	あめのとわたる	つゆもなし
349,にほひそふ	はなやまさとの	ちるはなに
350,ぬれはゆめ	さむさにくさを	かけもせて
351,ねらひぬる	さとちかひての	のちのくれ
352,のちのくれ	とひこむこころ	まさらめや
353,はなさけは	うときひとたに	とふものを
354,ひとりゆく	かきねのつきの	やすらひに
355,ふくままに	おもひみたれし	つきのかけ
356,めくらせよ	はなのあとみる	ひとつはき
357,ほとときす	ねこしやまこす	はつねかな
358,またしらぬ	ひとのこころの	いそかれて
359,みつあをき	くもににほそく	なみのおも
360,むつましき	こころはあきも	うきものを
361,めてこしも	たひにしあれは	なつみえて
362,ものおもふ	みにはまかきも	かきたえて
363,らうかせも	つきあるまてに	なかめやり
364,りうすいを	たつねしつきの	いろすみて
365,るりいろの	あまのあらいそ	なみのうへ
366,れむかひも	おこなふのへの	ことのこゑ
367,ろくなる	まきもすすしき	をりのこゑ
368,われにのみ	きかせてをみよ	わかこころ
369,あつまにて	おくやますみの	さひしきに
370,いろにふく	あきのかせきく	のわきかな
371,うすころも	つまふきかへす	このまかな
372,えそしらぬ	そらたのまぬも	かりはこひ
373,おとつれも	みにしむいまの	かせさむみ
374,かはなみに	ましはるなみの	うすこほり
375,ききさらす	あとよりみつの	かけをみて
376,くやしきは	はなちらぬこゑか	はるのはな
377,けふもまた	みやこはつきの	こほりにて
378,こかくれの	やまわけきより	いてぬらむ
379,さくふちの	はなのしはしに	めもあはて
380,しかまなる	のなかのいほは	もりわひて
381,すゑみえぬ	よこやまみちの	ゆきのくれ
382,せみのはも	そことなきなる	やまのかけ
383,そてにしも	のこりのつゆや	はれぬらむ
384,たえたえの	なかれのすゑは	はるみえて
385,ちるはなに	あすはうらみむ	かせもなし
386,つきほそし	かつらやしける	かみのには
387,てるかけも	ひとりにすめる	やまさとに
388,とりちらす	はなはもみちの	ちしほかな
389,なくせきの	はしとこしちの	やまふかみ
390,にほひきて	このまのうめの	たちえかな
391,ぬれきぬは	つひになきよに	あらはれて
392,ねかふてふ	いかなるかせに	ちきるらむ
393,のきならぬ	やまもとかしは	ゆきしろし
394,はまをきの	われとやみはた	かをりみむ
395,ひとこゑを	しるやはたひの	すてころも
396,ふなをさと	なるやうかひに	おもふらむ
397,めつらしき	むくらならねも	やまのかけ
398,ほのかにも	とほききなみの	うちなひき
399,まちこしや	はなにもみちの	いろころも
400,みつくらき	こすのとやまは	ひややかに
401,むるまての	あささはみつや	とけさらむ
402,めくりくる	きぬたをはるの	うらかせに
403,ももとせを	とこなつすすき	ひまをなみ
404,らうかはし	かみなりとよむ	あまのはら
405,りちのねの	ことのしらへも	あけそめて
406,るれはほそき	まかきはやとの	つきいてて
407,れいならぬ	こころのほとを	しらせはや
408,ろくなる	あすかのみちを	わけすきて
409,わすられぬ	こころのほとを	へたてめや
410,あふさかの	せきのあらしは	なほこひぬ
411,いろになほ	うかへるくもの	はなさきて
412,うらかれし	やまのあはひの	やまこえて
413,えたもなく	もみちかつゆに	たちもせて
414,おほまらや	つとむすふみち	またもえて
415,かせなから	あはゆきにほふ	みなとかは
416,きみとわか	まくらをかへる	よはつらし
417,くたりての	よのましはりも	うとくして
418,けふことの	あきかせまとふ	わかよにて
419,ことしけき	よにはすむへき	ものならて
420,さとをみて	ふねのうつるや	しらるらむ
421,しもふかく	いろこきいねの	うちみたれ
422,すむひとの	さとのいさこそ	あはれなれ
423,せみのこゑ	くきものきはの	はやたかな
424,そめかへは	またむらやまの	はれけらし
425,たれをよの	まつひとにせむ	はるのはな
426,ちのなみた	かりはのとりや	おとすらむ
427,つれなしな	たえすみやまの	みやきかな
428,てるつきの	きよたきかはや	さえぬらむ
429,とふひとも	まれなるのへの	うらかれて
430,なみもまた	そことなくてや	こほるらむ
431,にはかけて	かすみをはるの	うめのはな
432,ぬきおける	たむけのかすみ	うつるひに
433,ねやのうへに	おときくはなや	ゆきならむ
434,のかれすも	ひとりのをきに	みやまゐに
435,はなはいま	ちりにたかみの	いろかへて
436,ひとりねは	こよひのつきも	なこりにて
437,ふゆやまは	くもこそおくを	のかるらめ
438,めつらしき	つきひもはなの	さかりかな
439,ほのすすし	はるかせちかき	みかのつき
440,ますらをは	きかくせかたに	はるたちて
441,みわかさき	おつるあらしも	をさまりて
442,むしとたに	おもひなされる	こころにて
443,めつらしや	やよひのそらの	つきならむ
444,ものおもひ	しらぬあるみの	いかはかり
445,らうかへる	さとのしるらの	をたのはら
446,りむしにも	おもひしらぬも	わかなりて
447,るるいのち	しらぬひとをや	うらむらむ
448,れいならぬ	こころのちちの	よをふかみ
449,ろきもの	はるのあらこま	かへるのに
450,わかことや	はかなきゆめの	かへるらむ
451,あはれさは	よそめをしのふ	なかにして
452,いろつらき	はなたちはなに	よもとはし
453,うかれいつる	わかたましひを	ととめてよ
454,えのむらに	すくるかはつの	つゆわけて
455,おろけこそ	およはぬきはの	ちきりなれ
456,かりのほる	はまのまつかき	しもかれて
457,きみかよの	そてをもよほす	あまのいへ
458,くれぬれは	たつなほみつの	ひとつはし
459,けふもまた	なこりひとこそ	をしほやま
460,こりはこふ	たききもしらぬ	かすむのに
461,さはひとの	つくるたのもは	かれやらて
462,しもゆきの	はれてはつへき	はれもかな
463,すゑかかる	かたへのちはら	かせさえて
464,せきもせき	こすゑもあそふ	ゆふへかな
465,そらなれや	ところところの	ゆふまくれ
466,たちかへり	はるふくかせも	ききのあき
467,ちれはこそ	うめもちるへき	ものならめ
468,つきやたた	かすめるつゆに	うつるらむ
469,てるつきや	ささなからへと	すつるみに
470,とりのたつ	あさなあさなに	ひはさえて
471,なみたこそ	おほえすそてに	こほるらめ
472,にたるをや	かせのこゑにて	いそくらむ
473,ぬれいろは	ひとしほあめの	もよほやま
474,ねさめには	わかみのもしそ	みろかさね
475,のきはまて	おほろなるよの	あきのくも
476,はなもまて	ちあきをうつす	そののくさ
477,ひとつらの	ゆふなみけふる	あさほらけ
478,ふしやこれ	かすみをよよの	はるならむ
479,めくりくる	しくれののちや	ゆきならむ
480,ほとけにや	かすそふもりの	はてならむ
481,まくらとふ	しくれもくもの	ひまもしれ
482,みちぬれは	あさちかすゑの	つゆもなし
483,むすふへき	えにしわかよの	はるさめに
484,めくりきて	やまのはつくす	はやしかな
485,もえいつる	みきはのこくさ	いろみえて
486,らうつつく	いはねのまつやま	あきちりて
487,りちのねに	しくれしくもの	かさやとり
488,るれはちらはみはまた	ゆきふれこすや	はなのつゆ
489,れいよりも	あらしのみちの	たひのやと
490,ろくなる	ゆきのよかはの	かねなりて
491,わけいつる	かとたのいほの	しきすてて
492,ありあけの	つきのゆくへは	おほろにて
493,いとふこそ	あはれをつひの	やまのおく
494,うちなきて	かへるとりこそ	あはれなれ
495,えをとほみ	いくねさめして	かへるらむ
496,おいのさか	にはにしらるる	はるなれや
497,かちとるも	かはとはなれぬ	みなとふね
498,きみかわけし	ちしゑのゆくへ	あきふけて
499,くれふかき	かすみにとほき	とまりふね
500,けふゆくも	またけふゆくも	たひにして
501,こころなき	あきのねさめの	いかなれや
502,さよなかは	つきのうちにや	まかふらむ
503,しらせはや	ところところに	おそきひに
504,すゑたかく	なりにしあとの	くさのはら
505,せきもせき	こすゑもあきの	なかれにて
506,そてぬらす	みにはまかすも	なにならむ
507,たのむよや	ほふよもしらぬ	ふしならむ
508,ちもしひの	よるはゆききも	またきえて
509,つゆなから	やなきのしたは	もろからし
510,てにとらぬ	いはきはなみの	まかきかな
511,とりやしる	いつくのくもか	やまさくら
512,なこりなき	なこりをこそは	たつねなれ
513,にほひそふ	はなもひさしの	いろもなし
514,ぬのさらす	さとのけしきに	こきくれて
515,ねやにさす	あさひのかけに	ちりみえて
516,のりにみを	たのみてはなは	いかにせむ
517,はなちけり	もみちはくつれ	あをはかな
518,ひとりゆく	よとてにたれか	わかるらむ
519,ふかからぬ	としたのむなよ	くれやまた
520,めくるよを	おもへはみつの	なみのうへ
521,ほしめくる	いはほのうへや	はるのくさ
522,まさこちは	ひとやかたへの	しはのいほ
523,みちふかく	なりきてしける	やなきかな
524,むしろたふ	さとのけふりの	たちきえて
525,めつらしき	ほとけののりの	そのしるし
526,もるをたの	いなはのきりに	かせふきて
527,らうかはる	けしきはかりは	はるかにて
528,りうすいそく	しほひのみつに	とたえして
529,るりいろの	なみにはちるも	はれけらし
530,れいならて	はなみぬはなも	たれにせむ
531,ろのや	みのうきみるも	しらぬのに
532,わたつみの	はるかをとらの	よるのとも
533,あめならて	ふりゆくはかり	のきはかな
534,いててみむ	ことのねならぬ	やともなし
535,うかれきて	かへさいかなる	そらのくも
536,えたなから	をりかけひろく	しくるらし
537,おくつゆは	つひによせては	いつかみむ
538,かりはなる	とりやかひこを	すてぬらむ
539,きみとねは	よしののおくの	おくあけて
540,くるはるか	すくるをみれの	しほのうち
541,けふあすと	ひとなとさをや	さそふらむ
542,こころなき	うめはひとまの	にほひかな
543,さるやみな	しくれののちの	ゆきのまつ
544,しつかやの	まれをたくへて	みのおくる
545,すなほなる	ひともけにくる	をりにふれ
546,せみのこゑ	くほにもれぬる	やまのかけ
547,そてならぬ	くももやあきは	しくるらむ
548,たれもたた	おもへはゆめの	かたちにて
549,ちりをつき	かせをつたふる	ひともなし
550,つゆはかり	おくれとのこる	やまのかけ
551,てふたにも	あたなるひとに	こととはむ
552,とはさりし	ふかくものこる	うたのみち
553,なれぬれは	なほあせさそふ	なつのひに
554,にしききや	つれなきかたに	つもるらむ
555,ぬのひきの	たきこそかをれ	にはのゆき
556,ねさめする	そらこそしのへ	かすみかな
557,のこりける	むかしのひとの	よることに
558,はなをねに	くさとわたりの	やまふかみ
559,ひとむらの	まつはみとりに	あきふけて
560,ふきすさふ	あらしのなみに	とりなきて
561,めくりありて	うからぬなみの	いそまくら
562,ほとほとに	いくとしなみの	かかるらむ
563,まつとなほ	いととたなかの	ゆきふりて
564,みちのくの	しのふはかりは	なにかせむ
565,むらすすき	ひとよのほかの	やまもなし
566,めくりあへは	ともにしのふる	みのむかし
567,もみちせは	たちよりもみむ	しみつかな
568,らうしもや	つもるおもひの	ふりぬらむ
569,りちのねは	こころのはなの	こすゑかな
570,るるいのち	しくれめきたる	あきのかせ
571,れむかをに	はかなくもちる	にしきかな
572,ろへつき	はなのゆきまつ	のきはかな
573,わひしさは	あをはになれる	さとならむ
574,あらしよと	いひしにあひし	おいきかな
575,いとけなき	ときをもおもふ	ふてのあと
576,うめはたた	いろにあやなし	かすみかな
577,えのみつの	すゑはるはると	はれわたり
578,おもひいる	わかあとをたに	なしやりて
579,かせにまつ	ぬらすやはあを	うめのはな
580,きくもうし	さもからきよの	まつりこと
581,くさまくら	いくへのくもの	あとならむ
582,けふよりも	むかしはききの	したもみち
583,こころみに	なかなかやひと	すみわひて
584,さめにけり	またかへりこむ	あすかてら
585,しのひえぬ	ひとはなすすき	つくるみに
586,すくなるや	いまものにみて	いてつらむ
587,せみのこゑ	ききしよあたる	こゑもかな
588,そてもやや	たむけしくよの	かよふらむ
589,たへぬへき	こころもおいは	つきはてて
590,ちらぬのへ	いくへのくもも	たちぬらむ
591,つきもひとに	よよしとつくる	こよひかな
592,てふもたた	しらぬみなから	わすれめや
593,とふひとも	かみのそここそ	あはれなれ
594,なつかしき	もとのそともの	ひとすすき
595,にほひこぬ	うめやかすみの	にはのまつ
596,ぬるとりの	はおとくるしき	かせのこゑ
597,ねになきて	すよりわかるる	とりとりに
598,ののみやの	わかれのあきの	うきくれに
599,はらふへき	かせのいろめく	たひゐして
600,ひとりねは	まくらのつゆを	かたしきて
601,ふゆさくや	はなのこすゑの	はるのあめ
602,めのまへの	つゑにうつろふ	ふみをみて
603,ほとときす	まことはけふを	はつねかな
604,またれつる	けさのはつゆき	はやさえて
605,みるみるも	しほつかなしの	ゆふけふり
606,むすふてふ	みつのあたりを	はるやみて
607,めかれぬは	おいのたまらぬ	そてのつゆ
608,ものおもひ	おもかはりする	ときなれや
